,Country,Date,Suspected/Confirmed/Probable Cases,Suspected/Confirmed/Probable Deaths,Difference Cases/Deaths
1,Liberia,2014-08-29,1378.0,694,684.0
2,Liberia,2014-09-05,1871.0,1089,782.0
3,Liberia,2014-09-08,2046.0,1224,822.0
4,Liberia,2014-09-12,2081.0,1137,944.0
5,Liberia,2014-09-16,2407.0,1296,1111.0
6,Liberia,2014-09-18,2710.0,1459,1251.0
7,Liberia,2014-09-22,3022.0,1578,1444.0
8,Liberia,2014-09-24,3280.0,1677,1603.0
9,Liberia,2014-09-26,3458.0,1830,1628.0
10,Liberia,2014-10-01,3696.0,1998,1698.0
11,Liberia,2014-10-03,3834.0,2069,1765.0
12,Liberia,2014-10-08,3924.0,2210,1714.0
13,Liberia,2014-10-10,4076.0,2316,1760.0
14,Liberia,2014-10-15,4249.0,2458,1791.0
15,Liberia,2014-10-17,4262.0,2484,1778.0
16,Liberia,2014-10-22,4665.0,2705,1960.0
17,Liberia,2014-10-25,4665.0,2705,1960.0
18,Liberia,2014-10-29,6535.0,2413,4122.0
19,Liberia,2014-10-31,6535.0,2413,4122.0
20,Liberia,2014-11-05,6525.0,2697,3828.0
21,Liberia,2014-11-07,6619.0,2766,3853.0
22,Liberia,2014-11-12,6822.0,2836,3986.0
23,Liberia,2014-11-14,6878.0,2812,4066.0
24,Liberia,2014-11-19,7069.0,2964,4105.0
25,Liberia,2014-11-21,7082.0,2963,4119.0
26,Liberia,2014-11-26,7168.0,3016,4152.0
27,Liberia,2014-12-01,7635.0,3145,4490.0
28,Liberia,2014-12-03,7635.0,3145,4490.0
29,Liberia,2014-12-10,7719.0,3177,4542.0
30,Liberia,2014-12-15,7797.0,3290,4507.0
31,Liberia,2014-12-17,7797.0,3290,4507.0
32,Liberia,2014-12-22,7830.0,3376,4454.0
33,Liberia,2014-12-23,7830.0,3376,4454.0
34,Liberia,2014-12-24,7862.0,3384,4478.0
35,Liberia,2014-12-26,7862.0,3384,4478.0
36,Liberia,2014-12-29,7977.0,3413,4564.0
37,Liberia,2014-12-30,7977.0,3413,4564.0
38,Liberia,2014-12-31,8018.0,3423,4595.0
39,Liberia,2015-01-02,8018.0,3423,4595.0
40,Liberia,2015-01-05,8115.0,3471,4644.0
41,Liberia,2015-01-06,8157.0,3496,4661.0
42,Liberia,2015-01-07,8157.0,3496,4661.0
43,Liberia,2015-01-08,8166.0,3496,4670.0
44,Liberia,2015-01-09,8263.0,3515,4748.0
45,Liberia,2015-01-12,8278.0,3515,4763.0
46,Liberia,2015-01-13,8278.0,3515,4763.0
47,Liberia,2015-01-14,8331.0,3538,4793.0
48,Liberia,2015-01-15,8362.0,3556,4806.0
49,Liberia,2015-01-16,8362.0,3556,4806.0
50,Liberia,2015-01-19,8435.0,3587,4848.0
51,Liberia,2015-01-20,8478.0,3605,4873.0
52,Liberia,2015-01-21,8478.0,3605,4873.0
53,Liberia,2015-01-22,8524.0,3636,4888.0
54,Liberia,2015-01-23,8524.0,3636,4888.0
55,Liberia,2015-01-26,8524.0,3636,4888.0
56,Liberia,2015-01-27,8622.0,3686,4936.0
57,Liberia,2015-01-28,8622.0,3686,4936.0
58,Liberia,2015-01-29,8643.0,3700,4943.0
59,Liberia,2015-01-30,8643.0,3700,4943.0
60,Liberia,2015-02-02,8668.0,3710,4958.0
61,Liberia,2015-02-03,8729.0,3739,4990.0
62,Liberia,2015-02-04,8745.0,3746,4999.0
63,Liberia,2015-02-05,8745.0,3746,4999.0
64,Liberia,2015-02-06,8745.0,3746,4999.0
65,Liberia,2015-02-10,8881.0,3826,5055.0
66,Liberia,2015-02-11,8881.0,3826,5055.0
67,Liberia,2015-02-12,8881.0,3826,5055.0
68,Liberia,2015-02-13,8931.0,3858,5073.0
69,Liberia,2015-02-16,9007.0,3900,5107.0
70,Liberia,2015-02-17,9007.0,3900,5107.0
71,Liberia,2015-02-18,9007.0,3900,5107.0
72,Liberia,2015-02-19,9096.0,3947,5149.0
73,Liberia,2015-02-20,9096.0,3947,5149.0
74,Liberia,2015-02-23,9229.0,4032,5197.0
75,Liberia,2015-02-25,9238.0,4037,5201.0
76,Liberia,2015-02-26,9265.0,4057,5208.0
77,Liberia,2015-02-27,9265.0,4057,5208.0
78,Liberia,2015-03-02,9265.0,4057,5208.0
79,Liberia,2015-03-04,9265.0,4057,5208.0
80,Liberia,2015-03-05,9249.0,4117,5132.0
81,Liberia,2015-03-06,9249.0,4117,5132.0
82,Liberia,2015-03-10,9343.0,4162,5181.0
83,Liberia,2015-03-11,9343.0,4162,5181.0
84,Liberia,2015-03-12,9343.0,4162,5181.0
85,Liberia,2015-03-13,9482.0,4241,5241.0
86,Liberia,2015-03-16,9482.0,4241,5241.0
87,Liberia,2015-03-17,9526.0,4264,5262.0
88,Liberia,2015-03-18,9526.0,4264,5262.0
89,Liberia,2015-03-20,9555.0,4283,5272.0
90,Liberia,2015-03-23,9593.0,4296,5297.0
91,Liberia,2015-03-24,9602.0,4301,5301.0
92,Liberia,2015-03-25,9602.0,4301,5301.0
93,Liberia,2015-03-26,9602.0,4301,5301.0
94,Liberia,2015-03-27,9602.0,4301,5301.0
95,Liberia,2015-04-07,9862.0,4408,5454.0
96,Liberia,2015-04-09,9862.0,4408,5454.0
97,Liberia,2015-04-13,9862.0,4408,5454.0
98,Liberia,2015-04-14,9862.0,4408,5454.0
99,Liberia,2015-04-15,10042.0,4486,5556.0
100,Liberia,2015-04-16,10042.0,4486,5556.0
101,Liberia,2015-04-17,10042.0,4486,5556.0
102,Liberia,2015-04-20,10042.0,4486,5556.0
103,Liberia,2015-04-21,10042.0,4486,5556.0
104,Liberia,2015-04-22,10212.0,4573,5639.0
105,Liberia,2015-04-23,10212.0,4573,5639.0
106,Liberia,2015-04-24,10212.0,4573,5639.0
107,Liberia,2015-04-27,10212.0,4573,5639.0
108,Liberia,2015-04-28,10322.0,4608,5714.0
109,Liberia,2015-04-30,10322.0,4608,5714.0
110,Liberia,2015-05-01,10322.0,4608,5714.0
111,Liberia,2015-05-04,10322.0,4608,5714.0
112,Liberia,2015-05-05,10507.0,4691,5816.0
113,Liberia,2015-05-06,10564.0,4716,5848.0
114,Liberia,2015-05-07,10564.0,4716,5848.0
115,Liberia,2015-05-08,10564.0,4716,5848.0
116,Liberia,2015-05-11,10604.0,4769,5835.0
117,Liberia,2015-05-12,10604.0,4769,5835.0
118,Liberia,2015-05-13,10604.0,4769,5835.0
119,Liberia,2015-05-14,10604.0,4769,5835.0
120,Liberia,2015-05-15,10604.0,4769,5835.0
121,Liberia,2015-05-18,10666.0,4806,5860.0
122,Liberia,2015-05-19,10666.0,4806,5860.0
123,Liberia,2015-05-20,10666.0,4806,5860.0
124,Liberia,2015-05-21,10666.0,4806,5860.0
125,Liberia,2015-05-22,10666.0,4806,5860.0
126,Liberia,2015-05-25,10666.0,4806,5860.0
127,Liberia,2015-05-26,10666.0,4806,5860.0
128,Liberia,2015-05-27,10666.0,4806,5860.0
129,Liberia,2015-05-28,10666.0,4806,5860.0
130,Liberia,2015-05-29,10666.0,4806,5860.0
131,Liberia,2015-06-01,10666.0,4806,5860.0
132,Liberia,2015-06-02,10666.0,4806,5860.0
133,Liberia,2015-06-03,10666.0,4806,5860.0
134,Liberia,2015-06-04,10666.0,4806,5860.0
135,Liberia,2015-06-05,10666.0,4806,5860.0
136,Liberia,2015-06-08,10666.0,4806,5860.0
137,Liberia,2015-06-09,10666.0,4806,5860.0
138,Liberia,2015-06-10,10666.0,4806,5860.0
139,Liberia,2015-06-11,10666.0,4806,5860.0
140,Liberia,2015-06-12,10666.0,4806,5860.0
141,Liberia,2015-06-15,10666.0,4806,5860.0
142,Liberia,2015-06-16,10666.0,4806,5860.0
143,Liberia,2015-06-17,10666.0,4806,5860.0
144,Liberia,2015-06-18,10666.0,4806,5860.0
145,Liberia,2015-06-19,10666.0,4806,5860.0
146,Liberia,2015-06-22,10666.0,4806,5860.0
147,Liberia,2015-06-23,10666.0,4806,5860.0
148,Liberia,2015-06-24,10666.0,4806,5860.0
149,Liberia,2015-06-25,10666.0,4806,5860.0
150,Liberia,2015-06-26,10666.0,4806,5860.0
151,Liberia,2015-06-29,10666.0,4806,5860.0
152,Liberia,2015-06-30,10666.0,4806,5860.0
153,Liberia,2015-07-01,10666.0,4806,5860.0
154,Liberia,2015-07-02,10666.0,4806,5860.0
156,Liberia,2015-07-03,40.0,5,35.0
158,Liberia,2015-07-06,10666.0,4806,5860.0
160,Liberia,2015-07-07,10666.0,4806,5860.0
162,Liberia,2015-07-08,10666.0,4806,5860.0
164,Liberia,2015-07-09,6.0,1,5.0
166,Liberia,2015-07-10,10666.0,4806,5860.0
168,Liberia,2015-07-13,6.0,1,5.0
170,Liberia,2015-07-14,10666.0,4806,5860.0
172,Liberia,2015-07-15,7.0,2,5.0
174,Liberia,2015-07-16,6.0,2,4.0
176,Liberia,2015-07-17,7.0,2,5.0
178,Liberia,2015-07-20,7.0,2,5.0
180,Liberia,2015-07-21,10666.0,4806,5860.0
182,Liberia,2015-07-22,10666.0,4806,5860.0
184,Liberia,2015-07-23,7.0,2,5.0
186,Liberia,2015-07-24,10666.0,4806,5860.0
188,Liberia,2015-07-27,7.0,2,5.0
190,Liberia,2015-07-28,7.0,2,5.0
192,Liberia,2015-07-29,6.0,2,4.0
194,Liberia,2015-07-30,10666.0,4806,5860.0
196,Liberia,2015-07-31,10666.0,4806,5860.0
198,Liberia,2015-08-03,10666.0,4806,5860.0
200,Liberia,2015-08-04,6.0,2,4.0
202,Liberia,2015-08-05,6.0,2,4.0
204,Liberia,2015-08-06,6.0,2,4.0
206,Liberia,2015-08-07,10666.0,4806,5860.0
208,Liberia,2015-08-10,10666.0,4806,5860.0
210,Liberia,2015-08-11,10666.0,4806,5860.0
212,Liberia,2015-08-12,10666.0,4806,5860.0
214,Liberia,2015-08-13,10666.0,4806,5860.0
216,Liberia,2015-08-14,10666.0,4806,5860.0
218,Liberia,2015-08-17,10666.0,4806,5860.0
220,Liberia,2015-08-18,6.0,2,4.0
222,Liberia,2015-08-19,10666.0,4806,5860.0
224,Liberia,2015-08-20,6.0,2,4.0
226,Liberia,2015-08-21,10666.0,4806,5860.0
228,Liberia,2015-08-24,10666.0,4806,5860.0
230,Liberia,2015-08-25,6.0,2,4.0
232,Liberia,2015-08-26,10666.0,4806,5860.0
234,Liberia,2015-08-27,10666.0,4806,5860.0
236,Liberia,2015-08-28,6.0,2,4.0
238,Liberia,2015-08-31,10666.0,4806,5860.0
240,Liberia,2015-09-01,6.0,2,4.0
242,Liberia,2015-09-02,6.0,2,4.0
244,Liberia,2015-09-03,6.0,2,4.0
246,Liberia,2015-09-04,6.0,2,4.0
248,Liberia,2015-09-07,10666.0,4806,5860.0
250,Liberia,2015-09-08,10666.0,4806,5860.0
252,Liberia,2015-09-09,6.0,2,4.0
254,Liberia,2015-09-10,10666.0,4806,5860.0
256,Liberia,2015-09-11,6.0,2,4.0
258,Liberia,2015-09-14,10666.0,4806,5860.0
260,Liberia,2015-09-15,6.0,2,4.0
262,Liberia,2015-09-16,6.0,2,4.0
264,Liberia,2015-09-17,10666.0,4806,5860.0
266,Liberia,2015-09-18,10666.0,4806,5860.0
268,Liberia,2015-09-21,6.0,2,4.0
270,Liberia,2015-09-22,10666.0,4806,5860.0
272,Liberia,2015-09-23,10666.0,4806,5860.0
274,Liberia,2015-09-24,10666.0,4806,5860.0
276,Liberia,2015-09-25,6.0,2,4.0
278,Liberia,2015-09-28,6.0,2,4.0
280,Liberia,2015-09-29,10666.0,4806,5860.0
282,Liberia,2015-09-30,6.0,2,4.0
284,Liberia,2015-10-01,6.0,2,4.0
286,Liberia,2015-10-02,6.0,2,4.0
288,Liberia,2015-10-05,6.0,2,4.0
290,Liberia,2015-10-06,10666.0,4806,5860.0
292,Liberia,2015-10-07,10666.0,4806,5860.0
294,Liberia,2015-10-08,10666.0,4806,5860.0
296,Liberia,2015-10-09,10666.0,4806,5860.0
298,Liberia,2015-10-13,6.0,2,4.0
300,Liberia,2015-10-15,6.0,2,4.0
302,Liberia,2015-10-16,6.0,2,4.0
304,Liberia,2015-10-20,10666.0,4806,5860.0
306,Liberia,2015-10-22,10666.0,4806,5860.0
308,Liberia,2015-10-23,6.0,2,4.0
310,Liberia,2015-10-26,6.0,2,4.0
312,Liberia,2015-10-27,10666.0,4806,5860.0
314,Liberia,2015-10-29,10666.0,4806,5860.0
316,Liberia,2015-10-30,6.0,2,4.0
318,Liberia,2015-11-03,10666.0,4806,5860.0
320,Liberia,2015-11-05,10666.0,4806,5860.0
322,Liberia,2015-11-06,6.0,2,4.0
324,Liberia,2015-11-10,6.0,2,4.0
326,Liberia,2015-11-11,6.0,2,4.0
